停留所コード,停留所名,URL
11115,加福町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11115
11120,加福町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11120
11121,鎌倉台中学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11121
11122,上旭,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11122
11125,上飯田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11125
11130,上飯田西町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11130
11133,上飯田南町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11133
11135,神丘公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11135
11140,上小田井二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11140
11142,上小田井駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11142
11146,神沢二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11146
11147,神沢三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11147
11150,上汐田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11150
11152,上志段味,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11152
11153,上高畑,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11153
11155,上高畑一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11155
11157,上流町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11157
11160,神の倉,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11160
11162,神の倉一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11162
11163,神の倉二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11163
11164,神の倉三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11164
11165,上浜,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11165
11170,上堀越町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11170
11175,上前津,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11175
11180,上社,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11180
11190,上社西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11190
11200,上山町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11200
11202,亀ケ洞,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11202
11203,亀の井二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11203
11205,亀原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11205
11208,鴨付公園西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11208
11210,鴨付町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11210
11215,萱場,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11215
11225,河合小橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11225
11230,川上町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11230
11238,川澄町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11238
11239,川園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11239
11240,川中,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11240
11245,川名本町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11245
11250,川原通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_11250
